ACCOUNTNUMBER|USERID|DATECREATED|LASTUPDATEDDATE|EMAILADDRESS|STATUS|TYPE|DELIVERYMETHOD|CLIENTCORRESPONDENT|FIRSTNAME|LASTNAME|SRDPREFERENCE
492214||2025-09-25 09:33:13.611832|2025-09-25 09:33:13.611832|dep-test@broadridge.com|Y|Delivery|EMAIL|5JA|||N
203234||2025-09-18 11:27:26.284163|2025-09-18 11:27:26.284163|dep-test@broadridge.com|Y|Delivery|EMAIL|5JA|||N
761274||2025-09-11 09:31:11.249984|2025-09-11 09:31:11.249984|dep-test@broadridge.com|Y|Delivery|EMAIL|5JA|||N
152843||2025-09-04 09:31:11.38695|2025-09-04 09:31:11.38695|dep-test@broadridge.com|Y|Delivery|EMAIL|5JA|||N
688709||2025-08-28 09:30:38.549848|2025-08-28 09:30:38.549848|dep-test@broadridge.com|Y|Delivery|EMAIL|5JA|||N
017824||2025-08-26 13:59:49.990332|2025-08-26 13:59:49.990332|dep-test@broadridge.com|Y|Delivery|EMAIL|5JA|||N
AP_ACC_T1|NULL|2025-08-21 17:33:47.709|2025-08-21 17:35:10.965|1john.doe@acme.com|N|Delivery|PRINT|NULL|NULL|NULL|NULL
AP_ACC_T1|NULL|2025-08-21 17:33:13.596|2025-08-21 17:33:13.596|1john.doe@acme.com|Y|Delivery|SMS|NULL|NULL|NULL|NULL
AP_ACC_T1|NULL|2025-08-21 17:27:39.793|2025-08-21 17:32:13.368|1john.doe@acme.com|Y|Delivery|EMAIL|NULL|NULL|NULL|NULL
AP_ACC_T1||2025-08-21 17:27:22.197|2025-08-21 17:27:22.197|john.doe@acme.com|Y|Delivery|EMAIL|NULL|NULL|NULL|NULL
907443||2025-08-21 09:32:11.841154|2025-08-21 09:32:11.841154|dep-test@broadridge.com|Y|Delivery|EMAIL|5JA|||N
242114||2025-08-18 17:07:20.553742|2025-08-18 17:07:20.553742|dep-test@broadridge.com|Y|Delivery|EMAIL|5JA|||N
039968||2025-08-08 14:34:25.645231|2025-08-08 14:34:25.645231|dep-test@broadridge.com|Y|Delivery|EMAIL|5JA|||N
11111117||2025-07-24 16:26:17.156592|2025-07-24 16:26:17.156592|kabdo@foxrothschild.com|Y|Delivery|EMAIL||||Y
11111118||2025-07-24 16:26:17.156592|2025-07-24 16:26:17.156592|kabdo@foxrothschild.com|Y|Delivery|EMAIL||||Y
11111119||2025-07-24 16:26:17.156592|2025-07-24 16:26:17.156592|kabdo@foxrothschild.com|Y|Delivery|EMAIL||||Y
11111116||2025-07-24 16:19:48.97824|2025-07-24 16:26:17.156592|kaDdo@foxrothschild.com|Y|Delivery|EMAIL||||Y
11111101||2025-07-24 16:26:17.156592|2025-07-24 16:26:17.156592|kabdo@foxrothschild.com|Y|Delivery|EMAIL||||N
11111114||2025-07-24 03:12:22.082007|2025-07-24 16:19:48.97824|kabdo@foxrothschild.com|Y|Delivery|EMAIL||||Y
11111112||2025-07-24 03:12:22.082007|2025-07-24 16:19:48.97824|kabdo@foxrothschild.com|Y|Delivery|EMAIL||||Y
11111113||2025-07-24 03:12:22.082007|2025-07-24 16:19:48.97824|kabdo@foxrothschild.com|Y|Delivery|EMAIL||||Y
11111111||2025-07-18 18:14:04.779324|2025-07-24 16:19:48.97824|kabdo@foxrothschild.com|Y|Delivery|EMAIL||||N
11111115||2025-07-24 03:12:22.082007|2025-07-24 03:12:22.082007|kabdo@foxrothschild.com|Y|Delivery|EMAIL||||Y
